epoch,acc,loss,val_acc,val_loss
0,0.141548976368,2.27718370511,0.28109375,1.98556834221
1,0.54929698619,1.31317926217,0.802890625,0.675338079631
2,0.78667949139,0.689358198733,0.849764151093,0.503862404111
3,0.831096826663,0.555790792969,0.8821875,0.401408941448
4,0.853580262375,0.483312173399,0.890723270515,0.383300045001
5,0.864605326953,0.44586131051,0.898359375,0.353252465278
6,0.873637373121,0.419079262858,0.906996855496,0.326493666007
7,0.882200222087,0.394602061251,0.903125,0.331593537629
8,0.887019004981,0.376148276988,0.902437106918,0.334981346655
9,0.891224448302,0.36456198987,0.915234375,0.298986716047
10,0.896299598054,0.347732042406,0.920911949686,0.287608746186
11,0.898864542769,0.340803134843,0.914453125,0.298927143365
12,0.903274996481,0.325888661567,0.916194968628,0.304197109945
13,0.902767776075,0.326293783669,0.915625,0.293271358758
14,0.906629756488,0.316964185499,0.925864780099,0.262009575607
15,0.907654170383,0.311097989881,0.92890625,0.253398797587
16,0.911446847777,0.300947217484,0.932783018868,0.24071307336
17,0.912356366826,0.297125207058,0.9246875,0.274971176758
18,0.913785013841,0.295237857131,0.933726415244,0.24562770998
19,0.91493454699,0.288718530756,0.932421875,0.239116635323
