epoch,acc,loss,val_acc,val_loss
0,0.7037890625,0.541380556718,0.887421875,0.274916306287
1,0.887921934753,0.280756310121,0.926171875,0.188061452582
2,0.9110859375,0.22975297422,0.943671875,0.150149857849
3,0.922489893906,0.206465356696,0.944326825248,0.151240755466
4,0.927453125,0.192904634565,0.947421875,0.140713924766
5,0.932498260275,0.182050652295,0.955,0.120120379161
6,0.9346328125,0.1773608144,0.954206853476,0.123550595077
7,0.937181862965,0.169571786647,0.958515625,0.115245589651
8,0.940265625,0.164025194854,0.958828125,0.113558882885
9,0.94324161605,0.15558042989,0.959609375,0.111000803374
10,0.9435546875,0.153956281278,0.963694816999,0.102028173696
11,0.946064288126,0.148900090568,0.96625,0.0990331675485
12,0.9464453125,0.147330615927,0.962578125,0.0975633621588
13,0.948918236349,0.141949781996,0.965655140154,0.0981460089567
14,0.9492734375,0.14043093795,0.966796875,0.0954296346381
15,0.950349119978,0.138277809061,0.967578125,0.0937018242106
16,0.952366431324,0.133840699406,0.965859375,0.0940178458765
17,0.951921875,0.132922206275,0.9654199012,0.0993723910091
18,0.954149171583,0.130983554152,0.971328125,0.0796994493902
19,0.9536875,0.129156246733,0.96875,0.0904715561122
