epoch,acc,loss,val_acc,val_loss
0,0.132501290293,2.29741653949,0.194765625,2.27092508078
1,0.158870173134,2.24270890317,0.19614779878,2.27294712576
2,0.314197907381,1.87419209046,0.808671875,0.657128365338
3,0.881371307027,0.404948296679,0.891194968628,0.390597673182
4,0.922383293153,0.268355521549,0.921640625,0.289139532298
5,0.936283019755,0.219071192314,0.930738993711,0.251228109133
6,0.947316973991,0.183758046399,0.931015625,0.250341441855
7,0.95369805596,0.163474396396,0.939072327044,0.229844322482
8,0.958733836376,0.144149257779,0.94203125,0.231198915988
9,0.964513051504,0.123495204263,0.943789308176,0.249072740738
10,0.967648852813,0.111378777795,0.940546875,0.24693102859
11,0.971339870814,0.0992983051831,0.941037735849,0.263525257845
